City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,narvik,68.4384,17.4272,-4.33,91,100,3.71,NO,1701832190
83,hanceville,34.0607,-86.7675,10.86,57,2,5.24,US,1701832190
84,bamboo flat,11.7,92.7167,26.05,94,100,4.43,IN,1701832011
85,tongliao,43.6125,122.2653,-5.71,59,0,7.41,CN,1701832190
86,puerto ayora,-0.7393,-90.3518,24.75,94,53,0.89,EC,1701832190
87,polyarnyy,69.1989,33.4478,-10.09,81,100,5.3,RU,1701832012
88,capim grosso,-11.3811,-40.0128,21.83,84,66,3.63,BR,1701832191
89,tabou,4.423,-7.3528,25.92,84,12,2.81,CI,1701832191
90,yerofey pavlovich,53.9667,121.9667,-19.92,74,100,2.7,RU,1701831933
91,beykonak,36.3257,30.303,16.39,77,46,3.52,TR,1701832191
92,mar del plata,-38.0023,-57.5575,17.27,90,100,10.28,AR,1701832090
93,ola,59.5833,151.2833,-19.98,71,97,4.76,RU,1701832192
94,dryden,49.7833,-92.7503,-7.12,95,81,1.2,CA,1701832192
95,hami,42.8,93.45,2.54,37,11,1.44,CN,1701832192
96,silute,55.3489,21.4831,-8.46,94,48,4.25,LT,1701832192
97,pont rouge,48.8833,-72.0825,-14.89,95,36,2.15,CA,1701832192
98,georgetown,5.4112,100.3354,30.96,66,20,3.6,MY,1701832095
99,dolinsk,47.35,142.8,0.4,85,14,4.06,RU,1701832193
100,saint-joseph,-21.3667,55.6167,24.71,74,3,2.3,RE,1701832193
101,kulebaki,55.4133,42.5325,-21.23,100,99,1.2,RU,1701832193
102,alofi,-19.0595,-169.9187,28.94,70,75,6.17,NU,1701832007
103,kristiansund,63.1115,7.732,-2.64,68,100,2.06,NO,1701832194
104,simi valley,34.2695,-118.7815,22.74,39,0,1.93,US,1701831997
105,arraial do cabo,-22.9661,-42.0278,23.91,94,51,6.16,BR,1701832194
106,andapa,-14.65,49.65,20.77,87,31,0.59,MG,1701832194
107,aasiaat,68.7098,-52.8699,-18.62,92,26,4.54,GL,1701832194
108,greenville,35.6127,-77.3663,6.18,94,0,0.0,US,1701832191
109,hithadhoo,-0.6,73.0833,27.56,80,95,4.76,MV,1701832194
110,west island,-12.1568,96.8225,27.99,83,75,5.66,CC,1701832195
111,barre,44.197,-72.5021,-3.03,84,100,1.54,US,1701831923
112,st. john's,47.5649,-52.7093,-0.57,93,100,0.89,CA,1701832087
113,athy,52.9914,-6.9803,5.77,95,100,3.81,IE,1701832195
114,mwinilunga,-11.7358,24.4293,15.72,99,60,1.52,ZM,1701832195
115,takoradi,4.8845,-1.7554,26.21,81,0,2.7,GH,1701832142
116,invercargill,-46.4,168.35,18.07,51,76,0.43,NZ,1701832195
117,ulladulla,-35.35,150.4667,21.81,64,28,4.29,AU,1701832196
118,vorgashor,67.5833,63.95,-30.21,95,22,1.26,RU,1701832196
119,salekhard,66.53,66.6019,-36.54,100,69,0.29,RU,1701832196
120,usogorsk,63.4106,48.6872,-26.3,99,29,1.27,RU,1701832196
121,arkhangel'sk,64.5401,40.5433,-20.49,76,40,3.0,RU,1701832042
122,uturoa,-16.7333,-151.4333,24.13,84,100,3.11,PF,1701832196
